FID,gid,geom,id,ciad,localidade_id,nome,tipo,efetivacao,fir,jurisdicao,latitude_dec,longitude_dec,latitude,longitude,elevacao,elev_uom,tipo_util,cat_sigla,opr,wh,cidade,uf,utc,emenda_n,emenda,airport_pk
airport.3844,3844,MULTIPOINT ((-59.3525 -15.2475)),e7050905-06d6-4eef-8ea9-5a588e87f9fb,MT0240,SNAY,Fazenda São João,AD,2018-07-19,SBAZ,CINDACTA 4,-15.2475,-59.3525,15 14 51S,059 21 09W,301,M,PRIV,NAC,VFR DIURNA,HJ,Pontes e Lacerda,MT,-4,29/18,2023-03-23,5695
airport.4024,4024,MULTIPOINT ((-47.060555555556 -23.185833333333)),77a69bb5-2ede-4161-a391-b0f288e807a4,SP0120,SDMA,Muraro,AD,2018-07-19,SBBS,CRCEA-SE,-23.18583333,-47.06055556,23 11 09S,047 03 38W,735,M,PRIV,NAC,VFR DIURNA,HJ,Itupeva,SP,-3,29/18,2023-03-23,5696
airport.3479,3479,MULTIPOINT ((-57.479444444444 -13.913611111111)),deb584b3-819a-4964-8922-63225d9e240d,MT0276,SNWP,Fazenda Parecis,AD,2018-07-19,SBAZ,CINDACTA 4,-13.91361111,-57.47944444, 13 54 49S, 057 28 46W,587,M,PRIV,NAC,VFR DIURNA,HJ,Diamantino,MT,-4,29/18,2023-03-23,5876
airport.3902,3902,MULTIPOINT ((-45.199444444444 -14.2125)),b1a59b5d-55c6-457f-8f43-22bb0ada4893,BA0119,SJOR,Fazenda Onça do Barão,AD,2018-07-19,SBBS,CINDACTA 1,-14.2125,-45.19944444, 14 12 45S, 045 11 58W,774,M,PRIV,NAC,VFR DIURNA,HJ,Cocos,BA,-3,29/18,2023-03-23,5877
airport.4013,4013,MULTIPOINT ((-54.672777777778 -18.854166666667)),f858143e-c843-405f-a007-bf9b958d390b,MS0062,SDYQ,Fazenda Querência,AD,2018-07-19,SBCW,CINDACTA 2,-18.85416667,-54.67277778, 18 51 15S, 054 40 22W,443,M,PRIV,NAC,VFR DIURNA,HJ,Rio Verde de Mato Grosso,MS,-4,29/18,2023-03-23,5879
airport.3047,3047,MULTIPOINT ((-59.643333333333 -15.97)),7698d79c-15e5-496e-ba65-9779c69adc39,MT0085,SICR,Fazenda Coração do Brasil,AD,2018-07-19,SBAZ,CINDACTA 4,-15.97,-59.64333333, 15 58 12S, 059 38 36W,249,M,PRIV,NAC,VFR DIURNA,HJ,Pontes e Lacerda,MT,-4,29/18,2023-03-23,5880
airport.4232,4232,MULTIPOINT ((-53.8725 -23.343888888889)),72cd4ea7-a664-4df4-bf1a-5b54cd4bfb5a,MS0179,SJPI,Porto Bonito,AD,2018-07-19,SBCW,CINDACTA 2,-23.34388889,-53.8725, 23 20 38S, 053 52 21W,245,M,PRIV,NAC,VFR DIURNA,HJ,Itaquiraí,MS,-4,29/18,2023-03-23,5881
airport.2836,2836,MULTIPOINT ((-59.256944444444 -13.439722222222)),d5bab4db-dd50-41a5-b48c-6228f6e0a539,MT0184,SJJH,Fazenda Juína,AD,2018-08-30,SBAZ,CINDACTA 4,-13.43972222,-59.25694444, 13 26 23S, 059 15 25W,579,M,PRIV,NAC,VFR DIURNA,HJ,Campos de Júlio,MT,-4,35/18,2023-03-23,5882
airport.2025,2025,MULTIPOINT ((-58.772222222222 -13.404444444444)),8e26f55f-700e-4f9e-ac4d-f795200a2369,MT0165,SJCJ,Fazenda Carajás,AD,2020-10-15,SBAZ,CINDACTA 4,-13.40444444,-58.77222222, 13 24 16S, 058 46 20W,568,M,PRIV,NAC,VFR DIURNA,HJ,Sapezal,MT,-4,42/20,2023-03-23,5886
airport.2843,2843,MULTIPOINT ((-56.026666666667 -11.547222222222)),dc6af2bd-1326-4ace-a089-39017b614794,MT0343,SWFW,Fazenda Terra Way - VII,AD,2018-08-16,SBAZ,CINDACTA 4,-11.54722222,-56.02666667, 11 32 50S, 056 01 36W,371,M,PRIV,NAC,VFR DIURNA,HJ,Tabaporã,MT,-4,33/18,2023-03-23,5887
